Season,TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,Seed
2026,Western Kentucky,70.9,57,69.9,51,108.9,162,108.5,181,107.7,158,108.5,155,0,9,
2026,Western Michigan,69,146,67.7,160,106.6,217,107.8,194,115.8,334,117,317,-9.2,11,
2026,Wichita St.,67.3,233,66.1,248,112,104,112.6,111,102.5,53,102.8,64,9.8,3,
2026,William & Mary,73.6,8,72.5,7,111,122,111,137,107.3,142,109.5,185,1.5,6,
2026,Winthrop,71.7,29,70,43,113.2,86,111.7,127,107.9,163,110.5,207,1.2,6,
2026,Wisconsin,68.9,152,68.7,104,118.9,28,125.3,11,108.6,181,102,51,23.3,1,5
2026,Wofford,68.4,178,67.8,151,113.9,73,109.1,169,114.2,312,116.5,312,-7.4,6,
2026,Wright St.,69,148,67.2,192,115.5,57,112.1,117,108.9,190,110,193,2.1,4,14
2026,Wyoming,67.3,227,66,257,113.4,85,115.1,83,108.9,191,107.7,140,7.4,3,
2026,Xavier,71.2,46,70.2,33,109.1,159,116.9,69,112.5,279,109.4,182,7.5,2,
2026,Yale,65.6,314,64.4,328,121.2,8,121.1,35,108.5,179,110.4,202,10.7,1,
2026,Youngstown St.,68.6,165,67.2,187,109.1,158,105.5,243,108.8,189,109.4,184,-3.9,1,
