Abbrev,Stat Name,Description,Unit,Pctile Dir,Available In,Data Source
STRK 10+,10-0 Scoring Streaks,The total number of scoring streaks of 10+ consecutive points scored by the team.,Integer,Highest # = 100th,Team Agg PBP,pbp
AGST 10+,10-0 Scoring Streaks Allowed,The total number of scoring streaks allowed of 10+ consecutive points allowed by the team.,Integer,Lowest # = 100th,Team Agg PBP,pbp
STRK 12+,12-0 Scoring Streaks,The total number of scoring streaks of 12+ consecutive points scored by the team.,Integer,Highest # = 100th,Team Agg PBP,pbp
AGST 12+,12-0 Scoring Streaks Allowed,The total number of scoring streaks allowed of 12+ consecutive points allowed by the team.,Integer,Lowest # = 100th,Team Agg PBP,pbp
2PM,2 Point Field Goals Made,The total number of 2-point field goals made.,Integer,Highest # = 100th,"Player Game PBP, Team Game, Player Agg, Team Agg, Player Game, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off","box_score, pbp"
2PA,2-Point Field Goal Attempts,The total number of 2-point field goal attempts.,Integer,Highest # = 100th,"Player Game PBP, Team Game, Player Agg, Team Agg, Player Game, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off","box_score, pbp"
2P%,2-Point Percentage,Percentage of the player's 2-point field goal attempts that were made.,Percentage,Highest % = 100th,"Player Game PBP, Team Game, Player Agg, Team Agg, Player Game, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off","box_score, pbp"
SCP PTS,2nd Chance Points,The total number of second chance points.,Integer,Highest # = 100th,"Team Game, Player Agg, Team Agg, Player Game",box_score
SCP DIFF,2nd Chance Points Differential,How many more or fewer second chance points the team scored compared to their opponent.,Integer,Highest # = 100th,"Team Game, Team Agg",box_score
SCP PTS/100,2nd Chance Points / 100 Poss,An estimate of the number of second chance points per 100 possessions played.,Number,Highest # = 100th,Team Agg,box_score
SCP PTS/40,2nd Chance Points / 40 Mins,The number of second chance points per 40 minutes played.,Number,Highest # = 100th,"Player Agg, Team Agg",box_score
SCP PTS/G,2nd Chance Points / Game,The number of second chance points per game.,Number,Highest # = 100th,"Player Agg, Team Agg",box_score
FGM2 ASTD%,2P Assisted Pct,The percentage of 2P shots made that were assisted.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
2SFLD%,2-Point Shooting Fouled Pct,The percentage of 2-point shot attempts where a foul was drawn.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
2SFLD/100,2-Point Shooting Fouls Drawn / 100 Poss,The number of 2-point shooting fouls drawn per 100 possessions.,Number,Highest # = 100th,Team Agg PBP,pbp
2SFLD/40,2-Point Shooting Fouls Drawn / 40 Mins,The number of 2-point shooting fouls drawn per 40 minutes.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
2SFLD/G,2-Point Shooting Fouls Drawn / Game,The number of 2-point shooting fouls drawn per game.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
2SFLD,2-Point Shooting Fouls Drawn,The total number of 2-point shooting fouls drawn.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
2P SHOT ATT,2P Shot Attempts (inc SFLs),"The number of 2-point field goal attempts plus shooting fouls drawn on missied shots. Effectively, the number of 2-point shot attempts by the player.",Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
2P% (0-10s),2P% (0 - 10 on Shot Clock),Percentage of the player's 2-point field goal attempts taken with 0 - 10 seconds remaining on the shot clock that were made.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
2P% (20-30s),2P% (10 - 20 on Shot Clock),Percentage of the player's 2-point field goal attempts taken with 20 - 30 seconds remaining on the shot clock that were made.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
2P% (10-20s),2P% (20 - 30 on Shot Clock),Percentage of the player's 2-point field goal attempts taken with 10 - 20 seconds remaining on the shot clock that were made.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
2P% in HC,2P% in Half Court Offense,An estimate of 2-point field goal percentage (makes / attempts) on shots in the context of half court offense (as opposed to transition or putback).,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
2P% in TR,2P% in Transition Offense,An estimate of 2-point field goal percentage (makes / attempts) on shots in the context of transition offense (as opposed to half court or putback).,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
2PA DIFF,2P Attempt Differential,How many more or fewer 2-point field goal attempts the team took compared to their opponent.,Integer,Highest # = 100th,"Team Game, Team Agg",box_score
2PA (0-10s),2PAs (0-10 on Shot Clock),The total number of 2-point field goal attempts taken with 0 - 10 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
2PA (10-20s),2PAs (10-20 on Shot Clock),The total number of 2-point field goal attempts taken with 10 - 20 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
2PA (20-30s),2PAs (20-30 on Shot Clock),The total number of 2-point field goal attempts taken with 20 - 30 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
2PA/100,2-Point Field Goal Attempts / 100 Poss,An estimate of the number of 2-point field goal attempts per 100 possessions played.,Number,Highest # = 100th,"Team Agg, Team Agg PBP, Lineup, On/Off","box_score, pbp"
2PA/40,2-Point Field Goal Attempts / 40 Mins,The number of 2-point field goal attempts per 40 minutes played.,Number,Highest # = 100th,"Player Agg, Team Agg, Team Agg PBP, Player Agg PBP, Lineup, On/Off","box_score, pbp"
2PA/G,2-Point Field Goal Attempts / Game,The number of 2-point field goal attempts per game.,Number,Highest # = 100th,"Player Agg, Team Agg, Team Agg PBP, Player Agg PBP","box_score, pbp"
2PA in HC,2P Attempts in Half Court Offense,An estimate of the total number of 2-point field goal attempts taken in the context of half court offense (as opposed to transition or putback).,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
2PA in TR,2P Attempts in Transition Offense,An estimate of the total number of 2-point field goal attempts taken in the context of transition offense (as opposed to half court or putback).,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
2PM DIFF,2P Made Differential,How many more or fewer 2-point field goals made the team had compared to their opponent.,Integer,Highest # = 100th,"Team Game, Team Agg",box_score
2PM in HC,2P Made in Half Court Offense,An estimate of the total number of 2-point field goals made in the context of half court offense (as opposed to transition or putback).,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
2PM in TR,2P Made in Transition Offense,An estimate of the total number of 2-point field goals made in the context of transition offense (as opposed to half court or putback).,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
2PM (0-10s),2s Made with 0-10 Secs on Shot Clock,The total number of 2-point field goals made with 0 - 10 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
2PM (10-20s),2s Made with 10-20 Secs on Shot Clock,The total number of 2-point field goals made with 10 - 20 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
2PM (20-30s),2s Made with 20-30 Secs on Shot Clock,The total number of 2-point field goals made with 20 - 30 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
3PM,3 Point Field Goals Made,The total number of 3-point field goals made.,Integer,Highest # = 100th,"Player Game PBP, Team Game, Player Agg, Team Agg, Player Game, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off","box_score, pbp"
TOV 3 SECS,3 Second Violation,The total number of turnovers tagged by the scorer as a 3 second violation by the team.,Integer,Lowest # = 100th,"Team Agg PBP, Team Game PBP",pbp
3PAr,Three Point Attempt Rate,Percentage of the player's field goal attempts that were 3-point field goal attempts.,Percentage,Highest % = 100th,"Player Game PBP, Team Game, Player Agg, Team Agg, Player Game, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off","box_score, pbp"
3PA,3-Point Field Goal Attempts,The total number of 3-point field goal attempts taken.,Integer,Highest # = 100th,"Player Game PBP, Team Game, Player Agg, Team Agg, Player Game, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off","box_score, pbp"
3P%,3-Point Percentage,Percentage of the player's 3-point field goal attempts that were made.,Percentage,Highest % = 100th,"Player Game PBP, Team Game, Player Agg, Team Agg, Player Game, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off","box_score, pbp"
FGM3 ASTD%,3P Assisted Pct,The percentage of 3P shots made that were assisted.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
3SFLD%,3-Point Shooting Fouled Pct,The percentage of 3-point shot attempts where a foul was drawn.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
3SFLD/100,3-Point Shooting Fouls Drawn / 100 Poss,The number of 3-point shooting fouls drawn per 100 possessions.,Number,Highest # = 100th,Team Agg PBP,pbp
3SFLD/40,3-Point Shooting Fouls Drawn / 40 Mins,The number of 3-point shooting fouls drawn per 40 minutes.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
3SFLD/G,3-Point Shooting Fouls Drawn / Game,The number of 3-point shooting fouls drawn per game.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
3SFLD,3-Point Shooting Fouls Drawn,The total number of 3-point shooting fouls drawn.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
3P SHOT ATT,3P Shot Attempts (inc SFLs),"The number of 3-point field goal attempts plus shooting fouls drawn on missied shots. Effectively, the number of 3-point shot attempts by the player.",Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
3P% (0-10s),3P% (0 - 10 on Shot Clock),Percentage of the player's 3-point field goal attempts taken with 0 - 10 seconds remaining on the shot clock that were made.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
3P% (20-30s),3P% (10 - 20 on Shot Clock),Percentage of the player's 3-point field goal attempts taken with 20 - 30 seconds remaining on the shot clock that were made.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
3P% (10-20s),3P% (20 - 30 on Shot Clock),Percentage of the player's 3-point field goal attempts taken with 10 - 20 seconds remaining on the shot clock that were made.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
3P% in HC,3P% in Half Court Offense,An estimate of 3-point field goal percentage (makes / attempts) on shots in the context of half court offense (as opposed to transition or putback).,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
3P% in TR,3P% in Transition Offense,An estimate of 3-point field goal percentage (makes / attempts) on shots in the context of transition offense (as opposed to half court or putback).,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
3PA DIFF,3P Attempt Differential,How many more or fewer 3-point field goal attempts the team took compared to their opponent.,Integer,Highest # = 100th,"Team Game, Team Agg",box_score
3PA (0-10s),3PAs (0-10 on Shot Clock),The total number of 3-point field goal attempts taken with 0 - 10 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
3PA (10-20s),3PAs (10-20 on Shot Clock),The total number of 3-point field goal attempts taken with 10 - 20 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
3PA (20-30s),3PAs (20-30 on Shot Clock),The total number of 3-point field goal attempts taken with 20 - 30 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
3PA/100,3-Point Field Goal Attempts / 100 Poss,An estimate of the number of 3-point field goal attempts per 100 possessions played.,Number,Highest # = 100th,"Team Agg, Team Agg PBP, Lineup, On/Off","box_score, pbp"
3PA/40,3-Point Field Goal Attempts / 40 Mins,The number of 3-point field goal attempts per 40 minutes played.,Number,Highest # = 100th,"Player Agg, Team Agg, Team Agg PBP, Player Agg PBP, Lineup, On/Off","box_score, pbp"
3PA/G,3-Point Field Goal Attempts / Game,The number of 3-point field goal attempts per game.,Number,Highest # = 100th,"Player Agg, Team Agg, Team Agg PBP, Player Agg PBP","box_score, pbp"
3PA in HC,3P Attempts in Half Court Offense,An estimate of the total number of 3-point field goal attempts taken in the context of half court offense (as opposed to transition or putback).,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
3PA in TR,3P Attempts in Transition Offense,An estimate of the total number of 3-point field goal attempts taken in the context of transition offense (as opposed to half court or putback).,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
3PM DIFF,3P Made Differential,How many more or fewer 3-point field goals made the team had compared to their opponent.,Integer,Highest # = 100th,"Team Game, Team Agg",box_score
3PM in HC,3P Made in Half Court Offense,An estimate of the total number of 3-point field goals made in the context of half court offense (as opposed to transition or putback).,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
3PM in TR,3P Made in Transition Offense,An estimate of the total number of 3-point field goals made in the context of transition offense (as opposed to half court or putback).,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
3PM (0-10s),3s Made with 0-10 Secs on Shot Clock,The total number of 3-point field goals made with 0 - 10 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
3PM (10-20s),3s Made with 10-20 Secs on Shot Clock,The total number of 3-point field goals made with 10 - 20 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
3PM (20-30s),3s Made with 20-30 Secs on Shot Clock,The total number of 3-point field goals made with 20 - 30 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
TOV 5 SECS,5 Second Violation,The total number of turnovers tagged by the scorer as a 5 second violation by the team.,Integer,Lowest # = 100th,"Team Agg PBP, Team Game PBP",pbp
STRK 8+,8-0 Scoring Streaks,The total number of scoring streaks of 8+ consecutive points scored by the team.,Integer,Highest # = 100th,Team Agg PBP,pbp
AGST 8+,8-0 Scoring Streaks Allowed,The total number of scoring streaks allowed of 8+ consecutive points allowed by the team.,Integer,Lowest # = 100th,Team Agg PBP,pbp
ATB3 ASTD%,Above Break 3s Assisted Pct,The percentage of shots made on above the break 3s that were assisted.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATB3 DRB CHNC,Above Break 3s Defensive Rebound Chances,The total number of defensive rebounds chances (defensive rebounds grabbed plus opponent offensive rebounds) on opponent's missed above the break 3s.,Integer,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
ATB3 DRB%,Above Break 3s Defensive Rebounding Percentage,Percentage of the opponent's missed above the break 3s that were defensive rebounded by the team.,Percentage,Highest % = 100th,"Team Agg PBP, Team Game PBP",pbp
ATB3 DRB,Above Break 3s Defensive Rebounds,The total number of defensive rebounds grabbed on opponent's missed above the break 3s.,Integer,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
ATB3 FGA (0-10s),Above Break 3s FGAs with 0-10 Secs on Shot Clock,The total number of field goal attempts on above the break 3s taken with 0 - 10 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATB3 FGA (10-20s),Above Break 3s FGAs with 10-20 Secs on Shot Clock,The total number of field goal attempts on above the break 3s taken with 10 - 20 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATB3 FGA (20-30s),Above Break 3s FGAs with 20-30 Secs on Shot Clock,The total number of field goal attempts on above the break 3s taken with 20 - 30 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATB3 FGA/100,Above Break 3s FGA / 100 Poss,Field goal attempts on above the break 3s per 100 possessions played.,Number,Highest # = 100th,"Team Agg PBP, Lineup, On/Off",pbp
ATB3 FGA/40,Above Break 3s FGA / 40 Mins,Field goal attempts on above the break 3s per 40 minutes played.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP, Lineup, On/Off",pbp
ATB3 FGA/G,Above Break 3s FGA / Game,Field goal attempts on above the break 3s per game.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
ATB3 FGA% (0-10s) A,Above Break 3s FGA% (0-10s) % of all shots,Percentage of all shots taken that were above the break 3s with 0 - 10 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATB3 FGA% (0-10s) Z,Above Break 3s FGA% (0-10s) % of ATB 3s,Percentage of all above the break 3s that were taken with 0 - 10 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATB3 FGA% (0-10s) C,Above Break 3s FGA% (0-10s) % of 0-10s shots,Percentage of all shots taken with 0 - 10 seconds remaining on the shot clock that were above the break 3s.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATB3 FGA% (10-20s) A,Above Break 3s FGA% (10-20s) % of all shots,Percentage of all shots taken that were above the break 3s with 10 - 20 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATB3 FGA% (10-20s) Z,Above Break 3s FGA% (10-20s) % of ATB 3s,Percentage of all above the break 3s that were taken with 10 - 20 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATB3 FGA% (20-30s) A,Above Break 3s FGA% (20-30s) % of all shots,Percentage of all shots taken that were above the break 3s with 20 - 30 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATB3 FGA% (20-30s) Z,Above Break 3s FGA% (20-30s) % of ATB 3s,Percentage of all above the break 3s that were taken with 20 - 30 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATB3 FGA% (20-30s) C,Above Break 3s FGA% (20-30s) % of 20-30s shots,Percentage of all shots taken with 20 - 30 seconds remaining on the shot clock that were above the break 3s.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATB3 FGM,Above Break 3s FGM,The total number of field goals made on above the break 3s.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off",pbp
ATB3 FGM (0-10s),Above Break 3s FGMs with 0-10 Secs on Shot Clock,The total number of field goals made on above the break 3s taken with 0 - 10 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATB3 FGM (10-20s),Above Break 3s FGMs with 10-20 Secs on Shot Clock,The total number of field goals made on above the break 3s taken with 10 - 20 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATB3 FGM (20-30s),Above Break 3s FGMs with 20-30 Secs on Shot Clock,The total number of field goals made on above the break 3s taken with 20 - 30 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ATB3 ORB CHNC,Above Break 3s Offensive Rebound Chances,The total number of offensive rebounds chances (offensive rebounds grabbed plus opponent defensive rebounds) on the team's missed above the break 3s.,Integer,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
ATB3 ORB%,Above Break 3s Offensive Rebounding Percentage,Percentage of the team's missed above the break 3s that were offensive rebounded by the team.,Percentage,Highest % = 100th,"Team Agg PBP, Team Game PBP",pbp
ATB3 ORB,Above Break 3s Offensive Rebounds,The total number of offensive rebounds grabbed on the team's missed above the break 3s.,Integer,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
ATB3 REB CHNC,Above Break 3s Rebound Chances,The total number of rebounds chances (rebounds grabbed plus opponent rebounds) on the team's and opponent's missed above the break 3s.,Integer,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
ATB3 REB%,Above Break 3s Rebounding Percentage,Percentage of the team's and opponent's missed above the break 3s that were rebounded by the team.,Percentage,Highest % = 100th,"Team Agg PBP, Team Game PBP",pbp
ATB3 REB,Above Break 3s Rebounds,The total number of rebounds grabbed on the team's and opponent's missed above the break 3s.,Integer,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
ATB3 FGA% (10-20s) C,Above Break 3s FGA% (10-20s) % of 10-20s shots,Percentage of all shots taken with 10 - 20 seconds remaining on the shot clock that were above the break 3s.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
DRtg Adj,Adjustment to DRtg,"The size of the adjustment for the team's adjusted defensive rating, that takes into account the average defensive rating allowed by the team's opponents throughout the season.",Number,Lowest # = 100th,Team Agg,kenpom
eFG% Adj,Adjustment to eFG%,"The size of the adjustment for the team's adjusted effective field goal percentage, that takes into account the average eFG% allowed by the team's opponents throughout the season.",Percentage,Highest % = 100th,Team Agg,kenpom
FTA Rate Adj,Adjustment to FTA Rate,"The size of the adjustment for the team's adjusted free throw attempt rate, that takes into account the average FTA Rate allowed by the team's opponents throughout the season.",Percentage,Highest % = 100th,Team Agg,kenpom
